Tempering_time_(s) Tempering_temperature_(ºC) C(%wt) Mn(%wt) P(%wt) S(%wt) Si(%wt) Ni(%wt) Cr(%wt) Mo(%wt) V(%wt) Al(%wt) Cu(%wt) Final_hardness_(HRC)_post_tempering
86400 260 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 51.2
86400 315.6 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 47.4
86400 371.1 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 41.7
86400 426.7 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 36.1
86400 482.2 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 29.6
86400 537.8 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 24.2
86400 593.3 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 18.5
86400 648.9 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 12.4
86400 704.4 0.45 0.73 0.017 0.03 0.17 0.01 0.02 0.01 0 0 0 9.9
3600 204.4 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 55.0
3600 260 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 52.0
3600 315.6 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 49.0
3600 371.1 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 44.0
3600 426.7 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 40.0
3600 482.2 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 35.5
3600 537.8 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 30.5
3600 593.3 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 24.5
3600 648.9 0.48 0.76 0.046 0.048 0.14 0 0 0 0 0 0 19.0
600 204.4 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 57.1
600 315.6 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 51.3
600 426.7 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 45.8
600 537.8 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 36.0
3600 204.4 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 56.0
3600 260 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 54.0
3600 315.6 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 50.0
3600 371.1 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 46.5
3600 426.7 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 41.0
3600 482.2 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 37.7
3600 537.8 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 32.6
3600 593.3 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 27.2
3600 648.9 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 18.5
86400 204.4 0.5 0.91 0.046 0.041 0.13 0 0 0 0 0 0 53.6
